"You will be redirected to Wirecard Checkout Page in a few seconds. If not please click on the redirect button.","You will be redirected to Wirecard Checkout Page in a few seconds. If not please click on the redirect button."
"You will be redirected in a few seconds.","You will be redirected in a few seconds."
"An error occured during the payment process:","An error occured during the payment process:"
"The amount has been authorized and captured by Wirecard Checkout Page.","The payment was successfuly processed."
"Customer was rejected by Wirecard Checkout Page","The payment was declined."
"Order has been canceled.","Order has been canceled."
"Customer was redirected to Wirecard Checkout Page.","Customer was redirected the payment module."
"Incorrect data was submitted","An error occured during the payment process."
"Error occured","An error occured."
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">continue shopping</a>."
"Wirecard Checkout Page Transaction ID: %s","Wirecard Checkout Page Transaction ID: %s"
"wirecard_checkout_page_cc:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_select:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_elv:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_sepadd:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_eps:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_maestro:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_pbx:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_psc:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_quick:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_paypal:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_sofortueberweisung:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_wgp:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_idl:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_banContactMisterCash:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_c2p:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_invoice:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_installment:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_przelewy:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_moneta:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_poli:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_instantBank:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_eKonto:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_ccMoto:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_invoiceB2b:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_mpass:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_skrilldirect:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_skrillwallet:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_tatrapay:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"wirecard_checkout_page_epaybg:You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"You will be redirected to Wirecard Checkout Page website when you place an order.","You will be redirected to our payment partner Wirecard CEE when you place an order."
"Your order will be processed as soon as we get the payment confirmation from you bank.","Your order will be processed as soon as we get the payment confirmation from you bank."
"Shopping basket","Shopping basket"
"Payment has not been processed yet.","Payment has not been processed yet."
"Customer ID","CUSTOMERID"
"Displayed Text","DISPLAYTEXT"
"Enabled","Enabled"
"Logo URL","IMAGEURL"
"New order status","New order status"
"Only needed if enabled by Wirecard Checkout Page","Only required if shopids are enabled by Wirecard Checkout Page."
"Payment to Specific countries","Payment from specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Pre-shared secret key","Pre-shared secret key"
"Secret Key","SECRET"
"Service Page URL","SERVICEURL"
"Shop ID","SHOPID"
"Sort order","Sort order"
"Show Issuedate Fields","Show Issuedate Fields"
"Show Issuenumber Field","Show Issuenumber Field"
"Only effects seamless configuration","Only effects seamless configuration"
"Text which is shown together with order data (optional)","Text which is shown together with order data (optional)"
"Title","Title"
"URL pointing to the image of logo (optional; use relative path)","URL pointing to the image of logo (optional; use relative path)"
"URL pointing to the service page (use relative path)","URL pointing to the service page (use relative path)"
"Sorry, your payment has not confirmed by the payment provider.","Sorry, your payment has not confirmed by the payment provider."
"redirect","redirect"
"Background color","Background color"
"Background color of payment form after redirection. RGB, for example: F5F5F5","Background color of payment form after redirection. RGB, for example: F5F5F5"
"Send additional consumer information","Send additional consumer information"
"Include additional consumer data to redirect request. (e.g. billing address information)","Include additional consumer data to redirect request. (e.g. billing address information)"
"Detect mobile layout","Detect mobile layout"
"This is a payed feature for WCP and has to be enabled by Wirecard CEE. Please contact your sales representative", "This is a payed feature for WCP and has to be enabled by Wirecard CEE. Please contact your sales representative"
